Date,Commodity No,Commodity ,UN code ,Country Name,Import Value (BD),Import Value (USA $),Import Weight (KG),Import Quantity,UM
11/1/2020,85122000,OTHER LIGHTING OR VISUAL SIGNALING EQUIPMENT FOR CARS,KR,REPUBLIC OF KOREA,11355.78783,30201.56339,693.37,244,NO
11/1/2020,85122000,OTHER LIGHTING OR VISUAL SIGNALING EQUIPMENT FOR CARS,MY,MALAYSIA,137.8786422,366.6985165,22.857,1,NO
11/1/2020,85122000,OTHER LIGHTING OR VISUAL SIGNALING EQUIPMENT FOR CARS,TH,THAILAND,3240.905947,8619.430711,526.699,192,NO
11/1/2020,85122000,OTHER LIGHTING OR VISUAL SIGNALING EQUIPMENT FOR CARS,TW,TAIWAN,25952.3454,69022.1952,6343.005,22693,NO
11/1/2020,85123000,SOUND SIGNALING EQUIPMENT FOR VEHICLES,CN,CHINA,121.3981754,322.8674878,36.5,49,NO
11/1/2020,85123000,SOUND SIGNALING EQUIPMENT FOR VEHICLES,ID,INDONESIA,18.7755783,49.93504867,102.086,1,NO
11/1/2020,85123000,SOUND SIGNALING EQUIPMENT FOR VEHICLES,JP,JAPAN,30.569282,81.30128191,1.423,3,NO
11/1/2020,85123000,SOUND SIGNALING EQUIPMENT FOR VEHICLES,PH,PHILIPPINES,780.2845646,2075.224906,224.309,120,NO
11/1/2020,85123000,SOUND SIGNALING EQUIPMENT FOR VEHICLES,TH,THAILAND,23.57714854,62.7051823,4.306,5,NO
11/1/2020,85123000,SOUND SIGNALING EQUIPMENT FOR VEHICLES,VN,VIETNAM,27.00558633,71.82336789,10,7,NO
